Temperature,Kategori,Jumlah Data,Format Mengikuti Pydantic,Avg. Latency (s),Precision,Recall,F1-Score,Accuracy
0,Ideal (Bersih),3,100%,5.09,1.000000,1.000000,1.000000,1.000000
0,Standard (Typo/Mix),4,100%,4.86,0.875000,0.700000,0.777778,0.636364
0,Complex (Implisit),3,100%,8.86,0.733333,0.916667,0.814815,0.687500
Result,,10,100%,6.13,0.843750,0.870968,0.857143,0.750000
0.25,Ideal (Bersih),3,100%,5.40,1.000000,1.000000,1.000000,1.000000
0.25,Standard (Typo/Mix),4,100%,4.90,0.875000,0.700000,0.777778,0.636364
0.25,Complex (Implisit),3,100%,9.60,0.785714,0.916667,0.846154,0.733333
Result,,10,100%,6.46,0.870968,0.870968,0.870968,0.771429
0.5,Ideal (Bersih),3,100%,5.71,1.000000,1.000000,1.000000,1.000000
0.5,Standard (Typo/Mix),4,100%,6.13,0.900000,0.900000,0.900000,0.818182
0.5,Complex (Implisit),3,100%,8.50,0.733333,0.916667,0.814815,0.687500
Result,,10,100%,6.72,0.852941,0.935484,0.892308,0.805556
0.75,Ideal (Bersih),3,100%,5.56,1.000000,0.888889,0.941176,0.888889
0.75,Standard (Typo/Mix),4,100%,5.13,0.888889,0.800000,0.842105,0.727273
0.75,Complex (Implisit),3,100%,8.93,0.733333,0.916667,0.814815,0.687500
Result,,10,100%,6.40,0.843750,0.870968,0.857143,0.750000
1.0,Ideal (Bersih),3,100%,5.17,1.000000,1.000000,1.000000,1.000000
1.0,Standard (Typo/Mix),4,100%,5.64,0.888889,0.800000,0.842105,0.727273
1.0,Complex (Implisit),3,100%,8.75,0.785714,0.916667,0.846154,0.733333
Result,,10,100%,6.43,0.875000,0.903226,0.888889,0.800000
1.25,Ideal (Bersih),3,100%,5.02,1.000000,1.000000,1.000000,1.000000
1.25,Standard (Typo/Mix),4,100%,5.93,0.875000,0.700000,0.777778,0.636364
1.25,Complex (Implisit),3,100%,9.53,0.733333,0.916667,0.814815,0.687500
Result,,10,100%,6.74,0.843750,0.870968,0.857143,0.750000
1.5,Ideal (Bersih),3,100%,5.76,1.000000,1.000000,1.000000,1.000000
1.5,Standard (Typo/Mix),4,100%,5.00,0.888889,0.800000,0.842105,0.727273
1.5,Complex (Implisit),3,100%,9.06,0.733333,0.916667,0.814815,0.687500
Result,,10,100%,6.45,0.848485,0.903226,0.875000,0.777778
